evidence_record_id,study_reference_id,within_study_evidence_no,author_year,title,evidence_location,evidence_source_original,evidence_source_category,pathway_level_1_original,pathway_level_1_category,pathway_level_2_original,pathway_level_2_corrected_original,climate_factor_original,pathogen,amr_outcome_original,mechanism_chain_original,original_quote,evidence_type_original,evidence_type_category,mechanism_support_original,mechanism_support_category,effect_direction_original,effect_direction_category,time_scale_original,time_scale_category,spatial_context_original,spatial_context_category,extraction_date
EVID_006-M1,6,1,Di Cesareet al. (2017),Rainfall increases the abundance of antibiotic resistance genes within a riverine microbial community,Discussion-p.5-para.7,2-Results+Discussion整合,Results and discussion integration,2-环境介导,Environment-mediated pathways,2d-水土理化性质,2d-水土理化性质,其他-中等降雨事件,"ARGs (tetA, ermB,
blaCTXM, sulII, and qnrS)",耐药基因丰度增加,降雨增强→径流携带/沉积物再悬浮与营养盐输入增加→河流微生物群ARG丰度上升,"“We found an increase of N-NH4 and TP concentrations during
the rain event, as a result of runoff entering the river and of soil
resuspension, with a consequent release of previously bounded P
and N. In particular, stormwater originating during the event may
have delivered nutrients deriving from residential or agricultural
areas to the river (Hathaway et al., 2012). Altogether, our results
support the hypothesis that the ARGs, nutrients, and aggregates
found in the Toce water during the rain event derive from the
catchment.”",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_7-M1,7,1,Garner et al. (2017),Stormwater loadings of antibiotic resistance genes in an urban stream,Introduction-p.2-para.3,6 综述整合,Review synthesis,2 环境介导,Environment-mediated pathways,2b-抗生素残留,2c-水文条件；2b-抗生素残留,降水-极端降雨,环境细菌群落（stormwater/urban stream microbes）,耐药基因丰度增加,极端降水/暴雨径流（stormwater）→携带抗生素/重金属等污染物进入径流并形成亚抑制浓度选择压力→携带ARG的细菌被选择与扩增→ARG丰度增加,"“Stormwater in particular possesses many characteristics that may lead to the selection and amplification of these genes… It also frequently contains substantial quantities of heavy metals… and antibiotics… which are both well-known to select bacteria that possess ARGs, even at sub-inhibitory concentrations…”",4-文献综述,Review-based,文献综述总结,Review-based support,促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,3-人造环境,Built or engineered environment,2025-12-26
EVID_7-M2,7,2,Garner et al. (2017),Stormwater loadings of antibiotic resistance genes in an urban stream,Introduction-p.2-para.3,6 综述整合,Review synthesis,1 直接生物学效应,Direct biological mechanisms,1c-HGT质粒接合,1c-水平基因转移,降水-极端降雨,环境细菌群落（stormwater/urban stream microbes）,HGT频率增加,极端降水/暴雨径流（stormwater）→径流中低浓度重金属/抗生素（亚抑制浓度）→刺激水平基因转移（HGT）→ARG在群落中扩散增强→ARG丰度/多样性增加,"“At low levels, heavy metals and antibiotics have also been observed to stimulate horizontal gene transfer”",4-文献综述,Review-based,文献综述总结,Review-based support,促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,3-人造环境,Built or engineered environment,2025-12-26
EVID_7-M3,7,3,Garner et al. (2017),Stormwater loadings of antibiotic resistance genes in an urban stream,Results-p.3-para.3,2-Results+Discussion整合,Results and discussion integration,1-直接生物学效应,Direct biological mechanisms,1f-基因表达,2c-水文条件；1f-基因表达,降水-极端降雨,"sul1,
sul2, tet(W), erm(F) and 16S genes,",耐药基因丰度增加,极端降水/暴雨事件→暴雨径流输入与总菌量(16S rRNA)在暴雨不同阶段变化→ARG绝对丰度与相对丰度在涨水/峰值/落水阶段呈非均匀变化→ARG负荷与（对群落的）富集模式随暴雨阶段改变,"“ARG concentrations were also compared among defined portions of each storm: rising limb, peak flow, falling limb, and established baseline… both absolute (gene copies/L) and relative (gene copies/16S rRNA gene copies) abundances are considered. During storm 1, the ab-
solute concentration (gene copies per L) of sul1, sul2, tet(W), and
16S rRNA genes all trended higher during the peak and rising limb
of the storm compared to the baseline, but were only significantly
greater during the rising limb (p ¼ 0.0119; 0.0138; 0.0138; 0.0119).
In terms ofrelative abundance, only tet(W) and erm(F) were greater
during the rising limb (p ¼ 0.0138; 0.0138), while sul2 fell below the
baseline (p ¼ 0.0138) (Fig. 2).”",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-26
EVID_7-M4,7,4,Garner et al. (2017),Stormwater loadings of antibiotic resistance genes in an urban stream,Results-p.3-para.4,3-Discussion数据解释,Discussion interpretation,1 直接生物学效应,Direct biological mechanisms,1c HGT质粒接合,1c-水平基因转移,降水-极端降雨,"five ARGs (sul1, sul2, tet(O), tet(W), and erm(F))",耐药基因丰度增加,极端降水/暴雨事件（流域暴雨输入与非暴雨期持续存在）→sul1 由于与质粒/转座子及class 1 integron邻近而易发生HGT并携带多ARG→在多种抗生素选择/共选择下更易被维持与扩散→sul1在流域中呈“ubiquity/非仅降雨输入”且丰度维持较高,"“The apparent ubiquity of sul1… suggests that it is not introduced to the watershed exclusively during times of rainfall… sul1 is widely associated with plasmids and transposons, making it prone to horizontal gene transfer… Additionally, sul1 tends to reside adjacent to the class 1 integron and a variable number of additional antibiotic ARGs, enabling selection not only by sulfonamide antibiotics, but other antibiotics as well.”",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,2-自然环境,Natural environment,2025-12-26
EVID_008-M1,8,1,MacFadden (2018),Antibiotic resistance increases with local temperature,page2-para.2,1-Results实验数据,Results,2-环境介导,Environment-mediated pathways,2f-其他环境介导,可删除,其他-年度平均最低温,E.coli; K.pneumoniae; S.aureus,耐药率上升,区域最低温度更高（跨地区相差10°C）→（临床分离株耐药率（%non-susceptible）上升（E.coli +4.2%；K.pneumoniae +2.2%；S.aureus +2.7%）,"“a 10 °C increase in minimum temperature…was associated with an increase in antibiotic resistance of 4.2%, 2.2% and 2.7% for E. coli, K. pneumoniae and S. aureus, respectively.”",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,4-宿主体内,Within host / clinical,2025-12-25
EVID_008-M2,8,2,MacFadden (2018),Antibiotic resistance increases with local temperature,page3-para.2,2-Results+Discussion整合,Results and discussion integration,4-宿主易感性,Host susceptibility pathways,4d-行为改变,4d-行为改变,其他-年度平均最低温,K. pneumoniae; E. coli,耐药率上升,区域最低温度更高→人口密度高的地区耐药菌传播可能更高→临床分离株耐药率更高,"“we found that
an increase in population density ...from Bismarck, North Dakota, to
Boston, Massachusetts, was associated with a 6% increase in anti-
biotic resistance for K. pneumoniae (P < 0.0001) and 3% for E. coli
(P = 0.086). This may reflect increased transmission rates within
dense populations20
. """,2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,4-宿主体内,Within host / clinical,2025-12-25
EVID_008-M3,8,3,MacFadden (2018),Antibiotic resistance increases with local temperature,page3-para.3,2-Results+Discussion整合,Results and discussion integration,1 直接生物学效应,Direct biological mechanisms,1c HGT质粒接合,1c-水平基因转移,其他-年度平均最低温,E.coli; K.pneumoniae; S.aureus,耐药率上升,温度更高 →促进水平基因转移（耐药基因交换：如质粒携带ESBL；及/或摄取游离遗传物质）→耐药基因在宿主定植部位或环境中扩散→群体层面耐药传播增强→耐药率上升,"“temperature may facilitate horizontal gene transfer…(for example, plasmid-borne…ESBLs) or the uptake of free genetic material… Increased gene transfer…might then be expected to facilitate population transmission.”",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,1-促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,5-未明确,Mixed or unspecified,2025-12-25
EVID_008-M4,8,4,MacFadden (2018),Antibiotic resistance increases with local temperature,page3-para.3,2-Results+Discussion整合,Results and discussion integration,1 直接生物学效应,Direct biological mechanisms,1a-生长代谢,1a-生长代谢,其他-年度平均最低温,E.coli; K.pneumoniae; S.aureus,耐药率上升,区域最低温度更高/气温更高 →提高细菌生长率→增加携带/定植与人畜间传播；并可能支持环境中耐药菌生长→来自食物/农业/环境的传播增强→群体层面传播增加促使耐药菌株被选择/扩增→耐药率上升,“temperature is…a potent modifier of bacterial growth rates…may drive increased carriage and transmission… temperature may support the environmental growth of resistant strains… Increased population-level transmission may thus facilitate…selection of resistant strains.”,5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,1-促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,5-未明确,Mixed or unspecified,2025-12-25
EVID_9-M1,9,1,Ahmed et al. (2018),Precipitation influences pathogenic bacteria and antibiotic resistance gene abundance in storm drain outfalls in coastal sub-tropical waters,Discussion-p.9.-para.8,2-Results+Discussion整合,Results and discussion integration,2 环境介导,Environment-mediated pathways,2c 基础设施破坏,2c-水文条件,降水-极端降雨,雨水排口（SDO）微生物群落,耐药基因丰度增加,降雨期（wet weather）→促进污水/管网交叉连接等点源+非点源输入增强和扩散→ARG检出率/浓度升高→ARG丰度增加,"“Several ARGs were equally prevalent in both dry and wet weather periods also
suggesting point and nonpoint sources of pollution may be contributing
factors. This is also supported by the fact that some of the sites had high
FIB counts but were negative for the crAssphage and the HF183 mar-
kers. This suggested that fecal contamination of stormwater was diffuse
and included other potential point and nonpoint sources such as sani-
tary cross connections. During the sample collection, we observed shore
birds and dogs around the vicinity of SDO sites.”",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,促进AMR,Promoting AMR,2-观察累积,Observational cumulative/seasonal,2-自然环境,Natural environment,2025-12-29
EVID_9-M2,9,2,Ahmed et al. (2018),Precipitation influences pathogenic bacteria and antibiotic resistance gene abundance in storm drain outfalls in coastal sub-tropical waters,Discussion-p.9.-para.8,3 Discussion数据解释,Discussion interpretation,2 环境介导,Environment-mediated pathways,2d 水土理化性质,2d 水土理化性质,降水-极端降雨,雨水排口水体/沉积物-土壤相关微生物群落,耐药基因丰度增加,暴雨事件→扰动并混合沉积物/土壤、释放携带ARG的细菌进入水体（沉积物/土壤作为ARG库，且可保留抗生素化合物）→ARG进入水体并增加→ARG丰度增加,"“These animals may have also contributed high FIB counts. Sediments and soils also can be
important reservoirs for ARGs due to their ability to retain antibiotic
compounds as well as representing important environmental matrix
within which horizontal gene transfer can take place (Taylor et al.,
2011). LaPara et al. (2011) detected ARGs encoding resistance to tet-
racycline in water and sediment samples affected by sewage. Storm
events can agitate and mix sediments and stimulate processes leading to
release of bacteria and associated ARGs into water. The abundance of
aminoglycosides, integrons, heavy metals, sulfonamides, tetracycline,
and β-lactam resistance genes in SDOs is alarming.”",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,2-自然环境,Natural environment,2025-12-29
EVID_9-M3,9,3,Ahmed et al. (2018),Precipitation influences pathogenic bacteria and antibiotic resistance gene abundance in storm drain outfalls in coastal sub-tropical waters,Discussion-p.9.-para.8,3 Discussion数据解释,Discussion interpretation,1 直接生物学效应,Direct biological mechanisms,1c HGT质粒接合,1c-水平基因转移,降水-极端降雨,stormwater样品中的多样细菌（含潜在病原体）,HGT频率增加,暴雨径流携带高负荷ARG/耐药菌→ARG可在细菌间转移（包括向病原体转移）→耐药性扩散潜力增强（HGT潜力/频率增加）,"“This is because ARGs carried by bacteria can be transferred to other bacteria including di-
verse pathogens found in stormwater samples (Williams et al., 2016).
Stormwater contaminated with such clinically significant bacteria can
then be transferred to humans via direct or indirect exposures.”",5-理论推测,Theoretical/projection,3-理论推测,Theoretical support,促进AMR,Promoting AMR,4-未明确,Conceptual or unclear,5-未明确,Mixed or unspecified,2025-12-29
EVID_10-M1,10,1,Collignon et al. (2018),Anthropological and socioeconomic factors contributing to global antimicrobial resistance: a univariate and multivariable analysis,Results-p.e400-e401; Discussion-p.e402-e403,2-Results+Discussion整合,Results and discussion integration,3-生态社会介导,Socio-ecological mediation,2d-环境条件 (基础设施:卫生、清洁水); 3-生态社会介导 (间接),3d-2-基础设施与卫生系统；3g-其他社会介导-社会经济脆弱性；3b-人用抗生素；1a-生长代谢,温度-升高 (平均温度); 降水-变化 (平均降水量); 其他-多因子 (基础设施、治理、医疗支出、教育、GDP、气候),全球103个国家大肠杆菌(E. coli)、肺炎克雷伯菌(Klebsiella spp)、金黄色葡萄球菌(S. aureus)(2008-2014年数据),"单变量分析:基础设施指数(卫生、清洁水、电力、互联网、城市化)与两个AMR指数强烈负相关; 治理指数(腐败、政治稳定、法治)与两个AMR指数强烈负相关; 公共医疗支出与两个AMR指数强烈负相关; 私立与公立医疗支出比率与两个AMR指数强烈正相关; 教育指数与两个AMR指数正相关; GDP人均与两个AMR指数负相关(单变量)但正相关(多变量); 平均温度与两个AMR指数强烈正相关; 多变量回归分析(73个国家):基础设施指数改善1SD → E. coli耐药率下降16.84%(P=0.014, R²=0.54), 综合耐药率下降13.24%(P=0.0052, R²=0.75); 治理指数改善1SD → E. coli耐药率下降7.89%(P=0.025), 综合耐药率下降11.18%(P<0.0001); 医疗支出指数改善1SD → E. coli耐药率下降5.54%(P=0.093, 边缘显著), 综合耐药率下降6.34%(P=0.0065); 抗生素消费与两个AMR指数无显著关联(E. coli: P=0.64, 综合: P=0.070)","较差基础设施(卫生、清洁水缺乏) → 粪便污染水源(E. coli是粪便细菌,其在水中存在表明人类或动物粪便污染) → 耐药菌株和耐药基因通过水传播(contagion,传染) → 全球AMR流行率升高(基础设施指数改善1SD → E. coli耐药率下降16.84%, P=0.014; 综合耐药率下降13.24%, P=0.0052)(Table 2, Table 3; Discussion-p.e402)。较差治理(腐败、法治缺失) → 抗生素监管不严、私立医疗机构遵守公共卫生规则较少 → 抗生素滥用和耐药菌株传播 → 全球AMR流行率升高(治理指数改善1SD → E. coli耐药率下降7.89%, P=0.025; 综合耐药率下降11.18%, P<0.0001)(Table 2, Table 3; Discussion-p.e402-e403)。较高公共医疗支出 → 更好的感染控制和预防、更严格的抗生素监管 → 降低耐药菌株传播 → 全球AMR流行率降低(医疗支出指数改善1SD → 综合耐药率下降6.34%, P=0.0065)(Table 3; Discussion-p.e403)。较高私立与公立医疗支出比率 → 私立医疗机构监管较少、抗生素滥用 → 全球AMR流行率升高(单变量强正相关)(Results-p.e400-e401; Discussion-p.e403)。较高教育和GDP人均 → 低收入和中等收入国家(LMICs)更好获取抗生素、更多使用抗生素 → 抗生素消费增加 → 全球AMR流行率升高(教育指数增加1SD → E. coli耐药率升高7.93%, P=0.058; 综合耐药率升高8.59%, P=0.0035)(Table 2, Table 3; Discussion-p.e403-e404)。较高平均温度 → 水中细菌繁殖和耐药基因高频转移增加、昆虫种群增加传播耐药菌 → 全球AMR流行率升高(单变量强正相关,但多变量分析无显著关联,P=0.33和P=0.86)(Results-p.e401; Discussion-p.e404)。抗生素消费 → 全球层面与AMR无显著关联(多变量分析:E. coli P=0.64, 综合P=0.070),但欧洲等高收入国家存在强正相关(E. coli r=49%, 综合r=62%) → 提示传染(contagion,耐药菌株和基因传播)是全球AMR的主导因素,而非抗生素消费本身(Figure 2; Discussion-p.e404)。","Multivariable regression analysis showed that an increase of 1 SD in the infrastructure index, governance index, and health expenditure resulted in significant decreases in E coli resistance and aggregate resistance (tables 2, 3)... We found no significant association between the climate index and antimicrobial resistance indices. Antibiotic consumption was also not significantly associated with either antimicrobial resistance index (figure 2). (Results-p.e401-e402); ""Our results indicated that poorer infrastructure (eg, poor sanitation) and poorer governance (eg, corruption) were consistently associated with higher levels of antimicrobial resistance. Low health expenditure was also associated with higher levels of antimicrobial resistance. Surprisingly, after adjusting for these three measures, high GDP per person and high education levels were also associated with higher antimicrobial resistance levels. Also surprising was that antibiotic consumption was not strongly associated with antimicrobial resistance levels."" (Discussion-p.e402); ""Our data suggest that globally, a high prevalence of antimicrobial resistance can be more likely attributed to the dissemination of antimicrobial resistance, especially via poor sanitation and contaminated potable water. This expectation is supported by the strong association between the infrastructure index and E coli resistance because E coli are faecal bacteria and their presence in water indicates human or animal faecal contamination."" (Discussion-p.e402); ""For example, we would see E coli resistance levels fall by 18.6% for every 1 SD improvement in the infrastructure index. Additionally, we would see a 5.5% decrease in E coli resistance levels if the governance index were improved by 1 SD."" (Discussion-p.e402)",2-观察性数据,Observational,2-间接数据支持,Indirect empirical support,1-促进AMR (较差基础设施、较差治理、较低公共医疗支出、较高教育GDP促进AMR),Promoting AMR,2-观察/累积,Observational cumulative/seasonal,"5-未明确/理论 (全球103个国家生态学研究,多变量回归分析)",Mixed or unspecified,2025-12-23
